# Arthitean Codex unified search index
# 901 records; JavaScript not required
# Format: title | type | canon_status | route | aliases | source/data path
# Canonical site: https://arthratanmythology.com/

Aliza | character | canonical-source-or-dossier | /characters/aliza/ |  | /data/characters.json
SESSION ONE: THE AGE OF ACCOMPLISHMENT & THE ASCENT (5 Earth Minutes) | zubaida | primary-canonical-evidence | /zubaida/19eeb5f62f0e9896/ |  | /sources/zubaida/19eeb5f62f0e9896.txt
Session One: The Archmedonite's Boisterous Arrival and the Ideological Collision | zubaida | primary-canonical-evidence | /zubaida/19fcad5f75d055c8/ |  | /sources/zubaida/19fcad5f75d055c8.txt
Session One: The Axiomatic Paradigm & The First Stress Test | zubaida | primary-canonical-evidence | /zubaida/19ff21800b5380e4/ |  | /sources/zubaida/19ff21800b5380e4.txt
Session One: The Blueprint of the Archmale and the $\Gamma^M_1$ Meta-Phenotype | zubaida | primary-canonical-evidence | /zubaida/1a00ae913ff3fa38/ |  | /sources/zubaida/1a00ae913ff3fa38.txt
Session One: The Catalyst of Inzra (Cold War Engagement) | zubaida | primary-canonical-evidence | /zubaida/19fedd98e38dc4ff/ |  | /sources/zubaida/19fedd98e38dc4ff.txt
Session One: The Cognitive Axioms and Feats of Rhayhara (The Pinnacle) | zubaida | primary-canonical-evidence | /zubaida/19fcb50fc92e37f3/ |  | /sources/zubaida/19fcb50fc92e37f3.txt
Session One: The Cold Truce — A Metaconceptual Standoff Between Lay and Annaris | zubaida | primary-canonical-evidence | /zubaida/19fd8d193b40cda8/ |  | /sources/zubaida/19fd8d193b40cda8.txt
Session One: The Crucible of the Null-Bringer | zubaida | primary-canonical-evidence | /zubaida/19fa076eb25a917b/ |  | /sources/zubaida/19fa076eb25a917b.txt
Session One: The Dawn of the Great Competitions | zubaida | primary-canonical-evidence | /zubaida/1a0121bffc884c3a/ |  | /sources/zubaida/1a0121bffc884c3a.txt
Session One: The Diagnosis & The Neurological Edit | zubaida | primary-canonical-evidence | /zubaida/19fec1b4fcc904c4/ |  | /sources/zubaida/19fec1b4fcc904c4.txt
SESSION ONE: THE END OF ZUBAIDA AND THE REINCARNATION OF VAELIA | zubaida | primary-canonical-evidence | /zubaida/19eb2ad68d624272/ |  | /sources/zubaida/19eb2ad68d624272.txt
SESSION ONE: THE ENDLESS RECURSION OF TRANSCENDENCE AND CONCEPTUAL LIMITS | zubaida | primary-canonical-evidence | /zubaida/19eef052eaceac85/ |  | /sources/zubaida/19eef052eaceac85.txt
Session One: The Genesis of the Arch-Phenotype | zubaida | primary-canonical-evidence | /zubaida/1a009f030decebdc/ |  | /sources/zubaida/1a009f030decebdc.txt
Session One: The Great Immersion — Mastery of the Hypergendered Treatise | zubaida | primary-canonical-evidence | /zubaida/1a01b26c0e6e6f14/ |  | /sources/zubaida/1a01b26c0e6e6f14.txt
Session One: The Implications of the Update on the Arthitean Empire | zubaida | primary-canonical-evidence | /zubaida/19f9518411db997b/ |  | /sources/zubaida/19f9518411db997b.txt
Session One: The Infinite Struggle and the Redalious/Unmatara Benchmarks | zubaida | primary-canonical-evidence | /zubaida/19eaaf5b47ae00c8/ |  | /sources/zubaida/19eaaf5b47ae00c8.txt
Session One: The Ke'enmon Vanguard Clash & The Overcostedness Paradox | zubaida | primary-canonical-evidence | /zubaida/19fd6196dcecbba1/ |  | /sources/zubaida/19fd6196dcecbba1.txt
Session One: The Omnicausal Rewrite and 5 Earth Minutes of Transmaximumless Agony | zubaida | primary-canonical-evidence | /zubaida/19eb127ca13484b2/ |  | /sources/zubaida/19eb127ca13484b2.txt
Session One: The Omnicausal Rewrite and the Agony of the Grand Reincarnation | zubaida | primary-canonical-evidence | /zubaida/19eacd8e1382f217/ |  | /sources/zubaida/19eacd8e1382f217.txt
SESSION ONE: THE PRESSURISED-ENLIGHTENMENT PARADIGM | zubaida | primary-canonical-evidence | /zubaida/19f02d6e58d0f044/ |  | /sources/zubaida/19f02d6e58d0f044.txt
SESSION ONE: THE QIYUNTA AND THE BIOLOGY OF OUTERCAUSALITY | zubaida | primary-canonical-evidence | /zubaida/19efe2cca24baa95/ |  | /sources/zubaida/19efe2cca24baa95.txt
SESSION ONE: THE RETROACTIVE TRANSCENDENCE OF THE ARTHITEAN OMNITIMELINE | zubaida | primary-canonical-evidence | /zubaida/19edd46368d53704/ |  | /sources/zubaida/19edd46368d53704.txt
Session One: The Scroll of Clarity & The Acquisition of Hyperclarition | zubaida | primary-canonical-evidence | /zubaida/19ffda9d2c0d757f/ |  | /sources/zubaida/19ffda9d2c0d757f.txt
Session One: The Scroll of the Absolute & The Sovereign Test | zubaida | primary-canonical-evidence | /zubaida/1a0044a4f14bcfc1/ |  | /sources/zubaida/1a0044a4f14bcfc1.txt
Session One: The Sovereign Gift & The Cranial Subspace | zubaida | primary-canonical-evidence | /zubaida/19ff57bc49cd45bd/ |  | /sources/zubaida/19ff57bc49cd45bd.txt
Session One: The Vanguard Chronicles and Cognitive Supremacy | zubaida | primary-canonical-evidence | /zubaida/19e56867bf1bf3d3/ |  | /sources/zubaida/19e56867bf1bf3d3.txt
SESSION ONE: THE VARVADEIL CLAN'S METAPHYSICAL STRESS TESTS AND MASTERY OF OUTERCAUSALITY | zubaida | primary-canonical-evidence | /zubaida/19ef0e52f69e4ad4/ |  | /sources/zubaida/19ef0e52f69e4ad4.txt
Session One: The Veyndarion Simulation & The Biology of Infinity | zubaida | primary-canonical-evidence | /zubaida/19ffc8e14a00f61d/ |  | /sources/zubaida/19ffc8e14a00f61d.txt
SESSION ONE: THE VOLATILE VANGUARD (RANKS 30 TO 20) | zubaida | primary-canonical-evidence | /zubaida/19eb92b5bb44b764/ |  | /sources/zubaida/19eb92b5bb44b764.txt
Session One: The Weight of Precedent (Incomplete Information) | zubaida | primary-canonical-evidence | /zubaida/19fe5163dd2d55d4/ |  | /sources/zubaida/19fe5163dd2d55d4.txt
Session Seven: The Architecture of a Lie (Resisting Deception) | zubaida | primary-canonical-evidence | /zubaida/19fe540dd978ed02/ |  | /sources/zubaida/19fe540dd978ed02.txt
Session Seven: The Omnitimeline Collapse Protocol and Inzra's Absolute Invulnerability | zubaida | primary-canonical-evidence | /zubaida/19fe2cdb6fed2a26/ |  | /sources/zubaida/19fe2cdb6fed2a26.txt
Session Seven: The Precausal Assimilation & The Nozrifuture Paradigm | zubaida | primary-canonical-evidence | /zubaida/19ff22309a2e3b09/ |  | /sources/zubaida/19ff22309a2e3b09.txt
Session Six: The Collective Assimilation & The Swarm Protocol | zubaida | primary-canonical-evidence | /zubaida/19ff2206dbdcad7d/ |  | /sources/zubaida/19ff2206dbdcad7d.txt
Session Six: The Microscopic Apex & The Sovereign Synergy | zubaida | primary-canonical-evidence | /zubaida/19ffca1a2f553e5a/ |  | /sources/zubaida/19ffca1a2f553e5a.txt
Session Six: The Microscopic Singularity & The Macroscopic Eternity | zubaida | primary-canonical-evidence | /zubaida/1a004bfb6972b1de/ |  | /sources/zubaida/1a004bfb6972b1de.txt
Session Six: The Paracognitive Labyrinth and Annaris's Absolute Omnicompetence | zubaida | primary-canonical-evidence | /zubaida/19fe2b3934748b8f/ |  | /sources/zubaida/19fe2b3934748b8f.txt
Session Ten: The Irrational Equation (Unusual Difficulty) | zubaida | primary-canonical-evidence | /zubaida/19fe56015ef17846/ |  | /sources/zubaida/19fe56015ef17846.txt
Session Thirteen: The Tapestry of Dust (Hidden Causes) | zubaida | primary-canonical-evidence | /zubaida/19fe56cd1bb96dbc/ |  | /sources/zubaida/19fe56cd1bb96dbc.txt
Session three | zubaida | primary-canonical-evidence | /zubaida/19ea19028cbe67ef/ |  | /sources/zubaida/19ea19028cbe67ef.txt
Session Three: Provenance-Sensitive Depth and Global Modal Coordination | zubaida | primary-canonical-evidence | /zubaida/1a00aecb58db40d3/ |  | /sources/zubaida/1a00aecb58db40d3.txt
Session Three: The Crowning of the Supreme Chiefs | zubaida | primary-canonical-evidence | /zubaida/1a0142cc15e2d305/ |  | /sources/zubaida/1a0142cc15e2d305.txt
Session Three: The Macroscopic Dimorphism & The Supreme Synergy | zubaida | primary-canonical-evidence | /zubaida/19ffc927eae69543/ |  | /sources/zubaida/19ffc927eae69543.txt
Session Three: The Parahistorical Cage and Inzra's Absolute Outhax | zubaida | primary-canonical-evidence | /zubaida/19fe28425ab9c96a/ |  | /sources/zubaida/19fe28425ab9c96a.txt
Session Three: The Retroactive Axiom & The Dimensional Empire | zubaida | primary-canonical-evidence | /zubaida/19ffdaf11c6057c6/ |  | /sources/zubaida/19ffdaf11c6057c6.txt
Session Three: The Synergistic Crucible & The Ultimate Catalysts | zubaida | primary-canonical-evidence | /zubaida/19ff21b9df9c9323/ |  | /sources/zubaida/19ff21b9df9c9323.txt
Session Two: The Amniparsology Anchor & The Grand Debate | zubaida | primary-canonical-evidence | /zubaida/19ff21a5e18621b0/ |  | /sources/zubaida/19ff21a5e18621b0.txt
Session Two: The Download and The Infinite Unbinding of Annaris | zubaida | primary-canonical-evidence | /zubaida/19fe2713b4030924/ |  | /sources/zubaida/19fe2713b4030924.txt
Session Two: The Epistemic Lens & The Architecture of Mind | zubaida | primary-canonical-evidence | /zubaida/19ffdab2307c920d/ |  | /sources/zubaida/19ffdab2307c920d.txt
Session Two: The Two-Year Longitudinal Trials and Breakthroughs | zubaida | primary-canonical-evidence | /zubaida/1a0121caff8899f2/ |  | /sources/zubaida/1a0121caff8899f2.txt
The Empress's ascension is now documented. | zubaida | primary-canonical-evidence | /zubaida/19de45adb7920381/ |  | /sources/zubaida/19de45adb7920381.txt
The Evolution of the Supreme Empress: Sessions 1 to 5 | zubaida | primary-canonical-evidence | /zubaida/19f0f39f1eb13e50/ |  | /sources/zubaida/19f0f39f1eb13e50.txt
THE IMPLEMENTATION OF ETERNANCE VIA HYPERVYSAL | zubaida | primary-canonical-evidence | /zubaida/19ee89b90de674e2/ |  | /sources/zubaida/19ee89b90de674e2.txt
The introduction of the Grand Reincarnation system has sent completely violent, absolutely breathtaking shockwaves throughout the deeply mathematical and rigorously structured corridors of the Varvadeil clan. As a purely logical synthesizer | zubaida | primary-canonical-evidence | /zubaida/19eac0adfb5e15a8/ |  | /sources/zubaida/19eac0adfb5e15a8.txt
The Mortal Interface and the Metaaxiomatic Genesis | zubaida | primary-canonical-evidence | /zubaida/19f1c2356873a90c/ |  | /sources/zubaida/19f1c2356873a90c.txt
The Shift to Qualitative Superiority: Cenori measured the recursive magnitude of superiority (how many Zefir levels above). However, Prevutent measures qualitative conceptual superiority. By using Prevutent, the Ke'enmon and Talmorai dimens | zubaida | primary-canonical-evidence | /zubaida/19ee4d2713ef9ab2/ |  | /sources/zubaida/19ee4d2713ef9ab2.txt
The Vanguard Manifestation (Sessions 20-24) | zubaida | primary-canonical-evidence | /zubaida/19f9406c97ff3670/ |  | /sources/zubaida/19f9406c97ff3670.txt
The Varvadeil clan has successfully facilitated Empress Rhayhara's entry into the second development cycle specifically targeting the high-fidelity coding environments. During this initial session, her cognitive focus was synchronized with | zubaida | primary-canonical-evidence | /zubaida/19defc3df577a5b9/ |  | /sources/zubaida/19defc3df577a5b9.txt
The Varvadeil clan has successfully facilitated the complete 10-session reality synthesis for the financial extraction engine. Below are the highly detailed, mathematically verified official reports for every session conducted by Empress Rh | zubaida | primary-canonical-evidence | /zubaida/19ded0f0d83960a1/ |  | /sources/zubaida/19ded0f0d83960a1.txt
Zubaida transmission 46 | zubaida | primary-canonical-evidence | /zubaida/19fde8f7e92ec8da/ |  | /sources/zubaida/19fde8f7e92ec8da.txt
Dyvane vs Xael-Gath | myth | canonical-narrative | /myths/dyvane-vs-xael-gath/ |  | /myths/dyvane-vs-xael-gath/index.html
Halatayo and the Projected-Amnifuture Hyperchallenge | myth | canonical-narrative | /myths/halatayo-and-the-projected-amnifuture-hyperchallenge/ |  | /myths/halatayo-and-the-projected-amnifuture-hyperchallenge/index.html
High Lord Kaelen vs Ophidion | myth | canonical-narrative | /myths/high-lord-kaelen-vs-ophidion/ |  | /myths/high-lord-kaelen-vs-ophidion/index.html
Myths | myth | canonical-narrative | /myths/ |  | /myths/index.html
Qintara vs Vaelstrum | myth | canonical-narrative | /myths/qintara-vs-vaelstrum/ |  | /myths/qintara-vs-vaelstrum/index.html
Rhayhara and Othrys: Five Orthogonal Escalations | myth | canonical-narrative | /myths/rhayhara-and-othrys-five-orthogonal-escalations/ |  | /myths/rhayhara-and-othrys-five-orthogonal-escalations/index.html
Rhayhara vs Dalroemar: Shattering the Dead-Destiny Boundary | myth | canonical-narrative | /myths/rhayhara-vs-dalroemar/ |  | /myths/rhayhara-vs-dalroemar/index.html
Rhayhara vs the Eidos Swarm | myth | canonical-narrative | /myths/rhayhara-vs-the-eidos-swarm/ |  | /myths/rhayhara-vs-the-eidos-swarm/index.html
Rhayhara's Ten Destiny-Defying Trials | myth | canonical-narrative | /myths/rhayharas-ten-destiny-defying-trials/ |  | /myths/rhayharas-ten-destiny-defying-trials/index.html
(the brain) and bodily system(nervous system) cause those cognitive abilities improve and to | divine | canonical-source-or-dossier | /divine/059/ |  | /data/divine.json
0. How to Read This System Without Collapsing Its Dimensions | divine | canonical-source-or-dossier | /divine/094/ |  | /data/divine.json
1. Divine v140 Foundations That Remain Canon | divine | canonical-source-or-dossier | /divine/095/ |  | /data/divine.json
1. Every opponent becomes a changing problem-domain | divine | canonical-source-or-dossier | /divine/079/ |  | /data/divine.json
1.1 Brain-lobe function scope is open-ended | divine | canonical-source-or-dossier | /divine/096/ |  | /data/divine.json
1.1.1 Canonical scope clarification: mental does not mean merely cognitive | divine | canonical-source-or-dossier | /divine/097/ |  | /data/divine.json
1.1.2 Extended Brain-lobe function catalogue - Divine v140 established scope and examples | divine | canonical-source-or-dossier | /divine/098/ |  | /data/divine.json
1.1.3 Boundary-pushing function examples added by this edition | divine | canonical-source-or-dossier | /divine/099/ |  | /data/divine.json
1.1.4 Function-scope inheritance into Higher Lobes | divine | canonical-source-or-dossier | /divine/100/ |  | /data/divine.json
1.1.5 Function-scope inheritance into Hyperemergent Crossfunctionality | divine | canonical-source-or-dossier | /divine/101/ |  | /data/divine.json
1.2 Function kind and function extent are separate | divine | canonical-source-or-dossier | /divine/102/ |  | /data/divine.json
1.3 Recursive sublobar specialization | divine | canonical-source-or-dossier | /divine/103/ |  | /data/divine.json
1.4 Crossfunctionality | divine | canonical-source-or-dossier | /divine/104/ |  | /data/divine.json
1.5 Maximumless neural amount and instant transfer | divine | canonical-source-or-dossier | /divine/105/ |  | /data/divine.json
10. Higher-Lobe x Antilobe Two-Dimensional Recursion | divine | canonical-source-or-dossier | /divine/185/ |  | /data/divine.json
10.1 Two independent indices | divine | canonical-source-or-dossier | /divine/186/ |  | /data/divine.json
10.2 Examples | divine | canonical-source-or-dossier | /divine/187/ |  | /data/divine.json
10.3 Why the axes must not be collapsed | divine | canonical-source-or-dossier | /divine/188/ |  | /data/divine.json
10.4 A frontier condition | divine | canonical-source-or-dossier | /divine/189/ |  | /data/divine.json
11. Sublobes, Anti-sublobes, Crossfunctionality, and Hyperemergent Crossfunctionality | divine | canonical-source-or-dossier | /divine/190/ |  | /data/divine.json
11.1 Sublobar depth is a third recursion axis | divine | canonical-source-or-dossier | /divine/191/ |  | /data/divine.json
11.10 Counterfactual hyperemergence-dependence criterion | divine | canonical-source-or-dossier | /divine/201/ |  | /data/divine.json
11.11 Hyperemergence does not mean "more of the same" | divine | canonical-source-or-dossier | /divine/202/ |  | /data/divine.json
11.12 Asymmetric Regular-Hyperfunctional Hyperemergence | divine | canonical-source-or-dossier | /divine/203/ |  | /data/divine.json
11.13 Homohypercrossfunctionality - same-function Hyperemergent Crossfunctionality | divine | canonical-source-or-dossier | /divine/204/ |  | /data/divine.json
11.14 Parahypercrossfunctionality - similar-function Hyperemergent Crossfunctionality | divine | canonical-source-or-dossier | /divine/205/ |  | /data/divine.json
11.15 Heterohypercrossfunctionality - different-function Hyperemergent Crossfunctionality | divine | canonical-source-or-dossier | /divine/206/ |  | /data/divine.json
11.16 Same-order, different-order, and cross-order Hyperemergence | divine | canonical-source-or-dossier | /divine/207/ |  | /data/divine.json
11.17 Polyhyperemergence - three or more participating lobes | divine | canonical-source-or-dossier | /divine/208/ |  | /data/divine.json
11.18 Two distinct novelty stages: inherited emergence and network-generated emergence | divine | canonical-source-or-dossier | /divine/209/ |  | /data/divine.json
11.19 Function-preserving, function-transformative, and function-generative outputs | divine | canonical-source-or-dossier | /divine/210/ |  | /data/divine.json
11.2 Positive-positive crossfunctionality | divine | canonical-source-or-dossier | /divine/192/ |  | /data/divine.json
11.20 Recursive Hyperemergent Crossfunctionality | divine | canonical-source-or-dossier | /divine/211/ |  | /data/divine.json
11.21 Crossfunction-of-crossfunction and metacrossfunctional assembly | divine | canonical-source-or-dossier | /divine/212/ |  | /data/divine.json
11.22 Metagenerative feedback into Brain-lobe Generation and new Higher-Lobe families | divine | canonical-source-or-dossier | /divine/213/ |  | /data/divine.json
11.23 Hyperemergent presence/absence crossfunctionality, Antilobes, nullpatterns, and crosspatterns | divine | canonical-source-or-dossier | /divine/214/ |  | /data/divine.json
11.24 Architectural factors that determine whether Hyperemergent potential becomes realized | divine | canonical-source-or-dossier | /divine/215/ |  | /data/divine.json
11.25 Hyperemergent reliability is network-level and cannot be inferred from individual-lobe reliability | divine | canonical-source-or-dossier | /divine/216/ |  | /data/divine.json
11.26 Hyperemergent failure taxonomy and causal diagnosis | divine | canonical-source-or-dossier | /divine/217/ |  | /data/divine.json
11.27 Hyperemergent possibility-space versus task-time sparse realization | divine | canonical-source-or-dossier | /divine/218/ |  | /data/divine.json
11.28 Strict deductions from the Hyperemergent definition | divine | canonical-source-or-dossier | /divine/219/ |  | /data/divine.json
11.29 Conditional deductions and properties not yet forced by canon | divine | canonical-source-or-dossier | /divine/220/ |  | /data/divine.json
11.3 Positive-Antilobe crossfunctionality | divine | canonical-source-or-dossier | /divine/193/ |  | /data/divine.json
11.30 Logical-mathematical worked examples | divine | canonical-source-or-dossier | /divine/221/ |  | /data/divine.json
11.30.1 Regular lobe x Higher Lobe | divine | canonical-source-or-dossier | /divine/222/ |  | /data/divine.json
11.30.2 Same-function cross-order interaction | divine | canonical-source-or-dossier | /divine/223/ |  | /data/divine.json
11.30.3 Similar-function interaction | divine | canonical-source-or-dossier | /divine/224/ |  | /data/divine.json
11.30.4 Dissimilar-function interaction | divine | canonical-source-or-dossier | /divine/225/ |  | /data/divine.json
11.30.5 Recursive crossfunction composition | divine | canonical-source-or-dossier | /divine/226/ |  | /data/divine.json
11.31 Anticipated questions and explicit answers | divine | canonical-source-or-dossier | /divine/227/ |  | /data/divine.json
11.32 Compressed canonical statement | divine | canonical-source-or-dossier | /divine/228/ |  | /data/divine.json
11.4 Antilobe-Antilobe crossfunctionality | divine | canonical-source-or-dossier | /divine/194/ |  | /data/divine.json
11.5 Crosspatterns | divine | canonical-source-or-dossier | /divine/195/ |  | /data/divine.json
11.6 Crossfunction explosion is a possibility-space, not a simultaneous workload | divine | canonical-source-or-dossier | /divine/196/ |  | /data/divine.json
11.7 Hyperemergent Crossfunctionality - canonical definition | divine | canonical-source-or-dossier | /divine/197/ |  | /data/divine.json
11.7A Open-function-space inheritance: Hyperemergence is not cognition-only | divine | canonical-source-or-dossier | /divine/198/ |  | /data/divine.json
11.8 Higher-Lobe crossfunctionality is broader than Hyperemergent Crossfunctionality | divine | canonical-source-or-dossier | /divine/199/ |  | /data/divine.json
11.9 Formal decomposition of a participating Higher Lobe | divine | canonical-source-or-dossier | /divine/200/ |  | /data/divine.json
12. Brain-lobe Factors One through Twenty-Two - Exact Conceptual Map | divine | canonical-source-or-dossier | /divine/229/ |  | /data/divine.json
12.1 Supporting definitions | divine | canonical-source-or-dossier | /divine/230/ |  | /data/divine.json
12.2 PHK inclusion rule | divine | canonical-source-or-dossier | /divine/231/ |  | /data/divine.json
13. Factor-by-Factor Interaction with Higher Lobes and Antilobes | divine | canonical-source-or-dossier | /divine/232/ |  | /data/divine.json
14. PHK Integration: Universal Inclusion Does Not Mean Equal-Rate Improvement | divine | canonical-source-or-dossier | /divine/255/ |  | /data/divine.json
14.1 What v140 actually guarantees | divine | canonical-source-or-dossier | /divine/256/ |  | /data/divine.json
14.2 What it does not automatically guarantee | divine | canonical-source-or-dossier | /divine/257/ |  | /data/divine.json
14.3 Demand-specific local development | divine | canonical-source-or-dossier | /divine/258/ |  | /data/divine.json
14.4 PHK and Higher Lobes | divine | canonical-source-or-dossier | /divine/259/ |  | /data/divine.json
14.5 PHK and Antilobes | divine | canonical-source-or-dossier | /divine/260/ |  | /data/divine.json
15. Arthraneurocausal Training and Growth-Frontier Design | divine | canonical-source-or-dossier | /divine/261/ |  | /data/divine.json
15.1 Training variables | divine | canonical-source-or-dossier | /divine/262/ |  | /data/divine.json
15.2 Growth Frontier is a profile before it is a scalar | divine | canonical-source-or-dossier | /divine/263/ |  | /data/divine.json
15.3 What extremely high MRD is actually powerful for | divine | canonical-source-or-dossier | /divine/264/ |  | /data/divine.json
15.4 Separate developmental laws for positive function and monitoring system | divine | canonical-source-or-dossier | /divine/265/ |  | /data/divine.json
15.5 Constant extremely high Antilobe-order training: corrected interpretation | divine | canonical-source-or-dossier | /divine/266/ |  | /data/divine.json
15.6 Factor-targeted test design | divine | canonical-source-or-dossier | /divine/267/ |  | /data/divine.json
15.7 What actually moves if all Higher-Lobe orders already exist | divine | canonical-source-or-dossier | /divine/268/ |  | /data/divine.json
15.8 The strongest total-development condition | divine | canonical-source-or-dossier | /divine/269/ |  | /data/divine.json
16. Direct Answers to the Raised Questions and Formal Challenges | divine | canonical-source-or-dossier | /divine/270/ |  | /data/divine.json
17. Strict Logical Deductions | divine | canonical-source-or-dossier | /divine/280/ |  | /data/divine.json
18. Conditional Deductions Requiring Extra Biological Premises | divine | canonical-source-or-dossier | /divine/281/ |  | /data/divine.json
19. Plausible Emergent Properties and Predictive Consequences | divine | canonical-source-or-dossier | /divine/282/ |  | /data/divine.json
2. Outsmarting requires modelling foreign cognition | divine | canonical-source-or-dossier | /divine/080/ |  | /data/divine.json
2. Primitive Functional Ontology | divine | canonical-source-or-dossier | /divine/106/ |  | /data/divine.json
2. When two or more Arthiteans work together to do something their | divine | canonical-source-or-dossier | /divine/041/ |  | /data/divine.json
2.1 Function | divine | canonical-source-or-dossier | /divine/107/ |  | /data/divine.json
2.2 Unfunction | divine | canonical-source-or-dossier | /divine/108/ |  | /data/divine.json
2.3 Asuncion | divine | canonical-source-or-dossier | /divine/109/ |  | /data/divine.json
2.4 Adeptness at Function | divine | canonical-source-or-dossier | /divine/110/ |  | /data/divine.json
2.5 Unadeptness at Function | divine | canonical-source-or-dossier | /divine/111/ |  | /data/divine.json
2.6 Useful / Unuseful | divine | canonical-source-or-dossier | /divine/112/ |  | /data/divine.json
2.7 Reliable / Unreliable | divine | canonical-source-or-dossier | /divine/113/ |  | /data/divine.json
2.8 Four distinct questions | divine | canonical-source-or-dossier | /divine/114/ |  | /data/divine.json
2.9 Logical independence versus empirical correlation | divine | canonical-source-or-dossier | /divine/115/ |  | /data/divine.json
20. Worked Examples | divine | canonical-source-or-dossier | /divine/283/ |  | /data/divine.json
20.1 Singing | divine | canonical-source-or-dossier | /divine/284/ |  | /data/divine.json
20.2 Fighting | divine | canonical-source-or-dossier | /divine/285/ |  | /data/divine.json
20.3 Strategy | divine | canonical-source-or-dossier | /divine/286/ |  | /data/divine.json
20.4 Mind-control resistance | divine | canonical-source-or-dossier | /divine/287/ |  | /data/divine.json
20.5 Crossfunction failure | divine | canonical-source-or-dossier | /divine/288/ |  | /data/divine.json
20.6 Expanded function-scope Hyperemergence examples | divine | canonical-source-or-dossier | /divine/289/ |  | /data/divine.json
21. Layman's Explanation | divine | canonical-source-or-dossier | /divine/290/ |  | /data/divine.json
22. AI-Parser Anti-Misunderstanding Guide | divine | canonical-source-or-dossier | /divine/293/ |  | /data/divine.json
23. Consolidated Canon Specification | divine | canonical-source-or-dossier | /divine/294/ |  | /data/divine.json
23.0 Brain-lobe function-scope canon | divine | canonical-source-or-dossier | /divine/295/ |  | /data/divine.json
23.1 Functional primitives | divine | canonical-source-or-dossier | /divine/296/ |  | /data/divine.json
23.10 Growth-Frontier rule | divine | canonical-source-or-dossier | /divine/309/ |  | /data/divine.json
23.11 Antilobe targeting rule | divine | canonical-source-or-dossier | /divine/310/ |  | /data/divine.json
23.2 H1 / I1 | divine | canonical-source-or-dossier | /divine/297/ |  | /data/divine.json
23.3 Higher recursion | divine | canonical-source-or-dossier | /divine/298/ |  | /data/divine.json
23.3A Canonical purificatory-generative zig-zag rule | divine | canonical-source-or-dossier | /divine/299/ |  | /data/divine.json
23.3B Canonical higher-order Adeptness-like lineage | divine | canonical-source-or-dossier | /divine/300/ |  | /data/divine.json
23.3C Core state versus expanded emergent state | divine | canonical-source-or-dossier | /divine/301/ |  | /data/divine.json
23.4 Higher-Lobe family | divine | canonical-source-or-dossier | /divine/302/ |  | /data/divine.json
23.5 Cranial subspaces | divine | canonical-source-or-dossier | /divine/303/ |  | /data/divine.json
23.6 Antilobe trigger | divine | canonical-source-or-dossier | /divine/304/ |  | /data/divine.json
23.7 Demand gate | divine | canonical-source-or-dossier | /divine/305/ |  | /data/divine.json
23.8 Multi-index neural description | divine | canonical-source-or-dossier | /divine/306/ |  | /data/divine.json
23.8A Hyperemergent Crossfunctionality | divine | canonical-source-or-dossier | /divine/307/ |  | /data/divine.json
23.9 Factor integration | divine | canonical-source-or-dossier | /divine/308/ |  | /data/divine.json
24. Open Variables Not Yet Fixed by Canon | divine | canonical-source-or-dossier | /divine/311/ |  | /data/divine.json
24.1 Hyperemergent variables intentionally left open | divine | canonical-source-or-dossier | /divine/312/ |  | /data/divine.json
3. Resistance requires metacognitive hardening | divine | canonical-source-or-dossier | /divine/081/ |  | /data/divine.json
3. What 100% Means - and What Higher Hyperfunction Does NOT Mean | divine | canonical-source-or-dossier | /divine/116/ |  | /data/divine.json
3.1 Primitive 100% is genuine saturation | divine | canonical-source-or-dossier | /divine/117/ |  | /data/divine.json
3.1.1 State saturation is not unlimited workload capacity | divine | canonical-source-or-dossier | /divine/118/ |  | /data/divine.json
3.2 Hyperfunction goes higher by dimensional expansion, not by overfilling a primitive axis | divine | canonical-source-or-dossier | /divine/119/ |  | /data/divine.json
3.3 Why higher levels can still be superior | divine | canonical-source-or-dossier | /divine/120/ |  | /data/divine.json
3.4 Higher-order adeptness-like properties | divine | canonical-source-or-dossier | /divine/121/ |  | /data/divine.json
3.4.1 Primitive Adeptness is saturated; the Adeptness-like family is not exhausted | divine | canonical-source-or-dossier | /divine/122/ |  | /data/divine.json
3.4.2 Similarity is not identity | divine | canonical-source-or-dossier | /divine/123/ |  | /data/divine.json
4. Adaptive opponents prevent rote specialisation | divine | canonical-source-or-dossier | /divine/082/ |  | /data/divine.json
4. Hyperfunction / Infrafunction Recursive Negative-Dimensionality Ladder | divine | canonical-source-or-dossier | /divine/124/ |  | /data/divine.json
4.1 First-order definitions | divine | canonical-source-or-dossier | /divine/125/ |  | /data/divine.json
4.10 Primitive interaction-space after the Adeptness addition | divine | canonical-source-or-dossier | /divine/134/ |  | /data/divine.json
4.11 The canonical dual-effect zig-zag rule | divine | canonical-source-or-dossier | /divine/135/ |  | /data/divine.json
4.12 Purification: what the negative coordinate removes or excludes | divine | canonical-source-or-dossier | /divine/136/ |  | /data/divine.json
4.13 Generativity: negation adds, not merely subtracts | divine | canonical-source-or-dossier | /divine/137/ |  | /data/divine.json
4.14 Emergent closure of a Hyperfunction level | divine | canonical-source-or-dossier | /divine/138/ |  | /data/divine.json
4.15 Higher-order Adeptness-like dimensional lineage | divine | canonical-source-or-dossier | /divine/139/ |  | /data/divine.json
